Order_ID,Order_Timestamp,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Weather_Condition,Courier_Vehicle,Est_Distance_km,Base_Payout_HUF,Is_Peak_Hour,Final_Payout_HUF,Actual_Delivery_Time_Min
ORD-12902,2025-10-01 00:03:01.948958397,47.50490800702789,19.06119746578188,47.45770756032705,19.01970555735577,Clear,E-Bike,7.9362425569104005,1790.43638353656,False,1790.0,49.0
ORD-14151,2025-10-01 00:08:00.393591642,47.472008196062774,19.049009601103833,47.49863607253629,19.063028838518974,Rain,Bicycle,4.085516823746306,1212.8275235619458,False,1700.0,42.0
ORD-19187,2025-10-01 00:13:46.128698111,47.48279492389525,19.06501368544144,47.47950040776734,19.076431010615117,Cloudy,Scooter,1.2128161228579815,781.9224184286973,False,780.0,13.0
ORD-12604,2025-10-01 00:35:06.383081436,47.48183904300401,19.024744010546264,47.47948704642322,19.076860071173837,Cloudy,Scooter,5.102808439343567,1365.4212659015352,False,1370.0,28.0
ORD-14725,2025-10-01 00:59:10.514472485,47.45534645467864,19.04515654044803,47.49773424011149,19.05473231487929,Clear,Bicycle,6.19831376822478,1529.747065233717,False,1530.0,47.0
ORD-19907,2025-10-01 01:02:46.892060280,47.486521052481585,19.091477114216893,47.511848919421766,19.06326564815306,Rain,Scooter,4.582074894012764,1287.3112341019146,False,1800.0,35.0
ORD-17007,2025-10-01 01:02:48.927668095,47.49896982091562,19.06284279640386,47.46862184979147,19.036084589766144,Clear,E-Bike,5.1066444679797565,1365.9966701969634,False,1370.0,37.0
ORD-18125,2025-10-01 01:03:19.105860710,47.50422901408007,19.061730725087806,47.4804929368315,19.091358193956907,Rain,Bicycle,4.488515406765914,1273.2773110148871,False,1780.0,44.0
ORD-17263,2025-10-01 01:44:39.506085872,47.51017050127257,19.046792137131394,47.48466203547577,19.065937383142128,Cloudy,Scooter,4.134316959514781,1220.1475439272172,False,1220.0,23.0
ORD-18506,2025-10-01 01:46:56.270365477,47.47238972180068,19.079551232328857,47.49601239903386,19.065252269053506,Clear,Scooter,3.689390495962648,1153.4085743943972,False,1150.0,22.0
ORD-14776,2025-10-01 02:35:50.806674004,47.50311223096143,19.061020121066534,47.458528171636594,19.044340099939543,Cloudy,Bicycle,6.647599599319531,1597.1399398979297,False,1600.0,49.0
ORD-13626,2025-10-01 02:50:17.986081600,47.51387775391459,19.067585127628053,47.458883175185925,19.01982621407241,Cloudy,Bicycle,9.217479293500759,1982.6218940251138,False,1980.0,60.0
ORD-17795,2025-10-01 03:06:50.523196935,47.512150569945575,19.05299383652184,47.47752516951069,19.035446839949515,Clear,Car,5.290490730164555,1393.5736095246832,False,1390.0,31.0
ORD-17732,2025-10-01 03:25:46.690280199,47.513600861590575,19.053748311896317,47.46376380770096,19.03852632408109,Clear,Bicycle,7.355957010790582,1703.3935516185873,False,1700.0,50.0
ORD-19438,2025-10-01 03:56:05.813912392,47.483745345955796,19.069390550066586,47.48017413214726,19.093737177168972,Cloudy,Bicycle,2.4338581707406726,965.0787256111009,False,970.0,24.0
ORD-14978,2025-10-01 04:05:53.505321264,47.482349681300754,19.078294833856265,47.488991684524045,19.07252343482288,Cloudy,E-Bike,1.1134130785886607,767.0119617882991,False,770.0,15.0
ORD-14129,2025-10-01 04:49:51.373877764,47.51104456998402,19.074934102653824,47.477099477299554,19.023853618078654,Cloudy,Scooter,6.997701655632058,1649.6552483448088,False,1650.0,31.0
