order_id,shift_hour,courier_vehicle,weather_condition,est_distance_km,final_payout_huf,actual_cost_per_km,cohort_avg_cost_per_km,financial_status,operational_status,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon
ORD-16280,2026-02-27 15:00:00.000,Bicycle,Clear,7.09,1660.0,234.13,402.28,High Efficiency,On Time,47.49740272713024,19.063410815119777,47.45727977021059,19.021675076937345
ORD-13690,2026-02-27 15:00:00.000,Bicycle,Clear,2.05,910.0,443.9,402.28,Within Margin,On Time,47.50289741550715,19.068204806406364,47.511175079710064,19.05112601116557
ORD-11045,2026-01-20 11:00:00.000,Bicycle,Clear,5.32,1400.0,263.16,402.28,High Efficiency,On Time,47.46635506658761,19.080571902503884,47.47637244881552,19.02817263966689
ORD-16202,2026-03-16 12:00:00.000,Bicycle,Clear,6.93,1640.0,236.65,402.28,High Efficiency,On Time,47.5118773370889,19.05905274875019,47.47362574810309,19.016334473242463
ORD-14169,2025-10-18 11:00:00.000,Bicycle,Clear,6.5,1580.0,243.08,402.28,High Efficiency,On Time,47.510542451086735,19.067482914978264,47.46702535361715,19.08440625628357
ORD-15547,2025-10-09 22:00:00.000,Bicycle,Clear,5.9,1490.0,252.54,402.28,High Efficiency,On Time,47.49688979268112,19.05517218979353,47.460018888270206,19.029242434588795
ORD-15120,2025-11-27 13:00:00.000,Bicycle,Clear,6.45,1570.0,243.41,402.28,High Efficiency,On Time,47.468135659500525,19.07490186822418,47.512179055276725,19.06429883793301
ORD-17174,2025-10-18 12:00:00.000,Bicycle,Clear,2.49,970.0,389.56,402.28,Within Margin,On Time,47.49630361133889,19.05890722224457,47.47938560786869,19.054346322094503
ORD-12153,2026-02-27 12:00:00.000,Bicycle,Clear,5.33,1400.0,262.66,402.28,High Efficiency,On Time,47.47900413726364,19.081884201404705,47.51315463083554,19.061265544318708
ORD-17784,2026-03-20 23:00:00.000,Bicycle,Clear,3.51,1130.0,321.94,402.28,High Efficiency,On Time,47.50539282514262,19.06682385307296,47.48761348173925,19.0912912031414
ORD-13020,2025-11-21 17:00:00.000,Bicycle,Clear,2.89,1030.0,356.4,402.28,Within Margin,On Time,47.469758675732336,19.06984595430177,47.48238514421836,19.046852758254825
ORD-13158,2026-02-27 06:00:00.000,Bicycle,Clear,4.85,1330.0,274.23,402.28,High Efficiency,On Time,47.470535710473335,19.049677554031717,47.50013453893192,19.073028098945013
ORD-15713,2026-03-21 04:00:00.000,Bicycle,Clear,8.4,1860.0,221.43,402.28,High Efficiency,On Time,47.45824646423291,19.020330815021804,47.509012768979495,19.06212626297905
ORD-10122,2025-11-27 13:00:00.000,Bicycle,Clear,2.58,990.0,383.72,402.28,Within Margin,On Time,47.45057875923676,19.01989741215394,47.455690669452345,19.045227035562885
ORD-16833,2026-03-16 06:00:00.000,Bicycle,Clear,4.23,1230.0,290.78,402.28,High Efficiency,On Time,47.475166287446,19.033880403512214,47.48559116272339,19.07435234983056
ORD-10037,2025-10-18 16:00:00.000,Bicycle,Clear,0.83,730.0,879.52,402.28,High Bleed (Audit Required),On Time,47.504516964454346,19.048669404522517,47.49945311648161,19.052758761774594
ORD-10339,2025-10-18 16:00:00.000,Bicycle,Clear,2.27,940.0,414.1,402.28,Within Margin,On Time,47.460368285650645,19.027003684367752,47.47594248333967,19.024148205486007
ORD-14702,2026-01-29 00:00:00.000,Bicycle,Clear,6.02,1500.0,249.17,402.28,High Efficiency,On Time,47.48869667488321,19.09146151469284,47.46462468512432,19.04112101121865
ORD-14879,2026-02-27 03:00:00.000,Bicycle,Clear,1.91,890.0,465.97,402.28,Within Margin,On Time,47.51377051125395,19.068368388315672,47.50101783666372,19.06310721897329
ORD-19094,2026-01-01 21:00:00.000,Bicycle,Clear,2.95,1040.0,352.54,402.28,Within Margin,On Time,47.47880238715757,19.063386349326255,47.49789953509243,19.05267301379504
ORD-16798,2025-10-18 17:00:00.000,Bicycle,Clear,6.86,1630.0,237.61,402.28,High Efficiency,On Time,47.49916976706289,19.049750125166188,47.45179111858621,19.04604318876977
ORD-12324,2026-02-27 02:00:00.000,Bicycle,Clear,2.51,980.0,390.44,402.28,Within Margin,On Time,47.50375105998536,19.067890179190787,47.48664184705886,19.0724063971043
ORD-11820,2025-11-07 05:00:00.000,Bicycle,Clear,3.4,1110.0,326.47,402.28,High Efficiency,On Time,47.47757604735136,19.053070020632905,47.50082820691495,19.05813500420368
ORD-10468,2025-11-10 11:00:00.000,Bicycle,Clear,6.58,1590.0,241.64,402.28,High Efficiency,On Time,47.478860812454286,19.02768541299392,47.4651086575952,19.09189359871103
ORD-13906,2026-01-02 01:00:00.000,Bicycle,Clear,6.13,1520.0,247.96,402.28,High Efficiency,On Time,47.46500050811497,19.02991596000792,47.48218267255252,19.087312573464832
ORD-19459,2025-12-01 20:00:00.000,Bicycle,Clear,2.82,1280.0,453.9,402.28,Within Margin,On Time,47.510675953653376,19.06205390104964,47.49374550635864,19.04772627122476
ORD-15711,2026-03-25 06:00:00.000,Bicycle,Clear,6.66,1600.0,240.24,402.28,High Efficiency,On Time,47.46354241396674,19.02397008780064,47.49573191102732,19.072764487926435
ORD-16507,2026-03-15 15:00:00.000,Bicycle,Clear,3.18,1080.0,339.62,402.28,High Efficiency,On Time,47.49561911682864,19.074626337624764,47.51373743327568,19.056102744464063
ORD-10292,2026-02-26 21:00:00.000,Bicycle,Clear,5.35,1400.0,261.68,402.28,High Efficiency,On Time,47.5041706587489,19.06695097569864,47.47217826395634,19.094395553670022
ORD-15942,2025-10-04 13:00:00.000,Bicycle,Clear,5.06,1360.0,268.77,402.28,High Efficiency,On Time,47.48560489888327,19.087562291632185,47.465655078548,19.044998564741466
ORD-18142,2026-01-25 17:00:00.000,Bicycle,Clear,0.65,700.0,1076.92,402.28,High Bleed (Audit Required),On Time,47.4735982300001,19.073989535175954,47.474428981938175,19.06744913752595
ORD-12100,2026-03-15 15:00:00.000,Bicycle,Clear,0.21,630.0,3000.0,402.28,High Bleed (Audit Required),On Time,47.49364384014499,19.068330701679105,47.49438159983111,19.07015318269592
ORD-15132,2025-10-19 00:00:00.000,Bicycle,Clear,3.27,1090.0,333.33,402.28,High Efficiency,On Time,47.47490337591569,19.050679745329973,47.48298482803548,19.081987415363983
ORD-11683,2026-02-26 20:00:00.000,Bicycle,Clear,1.24,980.0,790.32,402.28,High Bleed (Audit Required),On Time,47.50384900890581,19.06064123726207,47.51069973538032,19.052990755467665
ORD-16763,2025-11-21 14:00:00.000,Bicycle,Clear,4.41,1260.0,285.71,402.28,High Efficiency,On Time,47.47190228000132,19.08675376987633,47.47941678078588,19.04298019748685
ORD-15656,2026-01-31 09:00:00.000,Bicycle,Clear,5.72,1460.0,255.24,402.28,High Efficiency,On Time,47.50939748971777,19.061090910645564,47.47507008999915,19.03188064821458
ORD-18380,2026-01-02 04:00:00.000,Bicycle,Clear,6.61,1590.0,240.54,402.28,High Efficiency,On Time,47.51285214708189,19.046849114642335,47.47218243857844,19.015883005413144
ORD-13238,2026-01-20 13:00:00.000,Bicycle,Clear,5.88,1480.0,251.7,402.28,High Efficiency,On Time,47.48355782833276,19.023395417670237,47.48396421486517,19.08361352571216
ORD-19183,2026-01-31 09:00:00.000,Bicycle,Clear,8.64,1900.0,219.91,402.28,High Efficiency,On Time,47.45348437113925,19.032175071202136,47.51173957482938,19.052109225642223
ORD-10144,2025-11-21 13:00:00.000,Bicycle,Clear,3.54,1130.0,319.21,402.28,High Efficiency,On Time,47.467351626225934,19.060421747283534,47.48536404578999,19.084930303564825
ORD-14197,2025-11-21 12:00:00.000,Bicycle,Clear,6.96,1640.0,235.63,402.28,High Efficiency,On Time,47.46029376007301,19.018255580626665,47.47393960348978,19.086602013741985
ORD-17244,2025-11-21 11:00:00.000,Bicycle,Clear,2.05,910.0,443.9,402.28,Within Margin,On Time,47.48789664731166,19.06033699483409,47.49935669602748,19.04801079259085
ORD-18045,2025-10-19 05:00:00.000,Bicycle,Clear,5.29,1390.0,262.76,402.28,High Efficiency,On Time,47.46951284208848,19.083444155641203,47.50461164512654,19.068203941008093
ORD-16726,2025-12-01 01:00:00.000,Bicycle,Clear,1.76,860.0,488.64,402.28,Within Margin,On Time,47.49748086354813,19.073319052067124,47.48916150843323,19.060119756170064
ORD-17844,2026-02-26 13:00:00.000,Bicycle,Clear,6.75,1610.0,238.52,402.28,High Efficiency,On Time,47.457149177113095,19.036255436848624,47.50239237060065,19.053465433265814
ORD-16191,2026-01-25 08:00:00.000,Bicycle,Clear,7.0,1650.0,235.71,402.28,High Efficiency,On Time,47.501572388888185,19.059083902071155,47.45470025152003,19.04105098264247
ORD-17568,2026-02-26 12:00:00.000,Bicycle,Clear,4.45,1270.0,285.39,402.28,High Efficiency,On Time,47.46237018687531,19.025457508486483,47.47398453658008,19.06768193759585
ORD-15622,2026-02-26 12:00:00.000,Bicycle,Clear,4.32,1250.0,289.35,402.28,High Efficiency,On Time,47.470190258322646,19.054124391454,47.48789456267366,19.08971948205749
ORD-14951,2025-10-10 06:00:00.000,Bicycle,Clear,6.16,1520.0,246.75,402.28,High Efficiency,On Time,47.509658099944,19.069679026929663,47.469244375965765,19.049720275451005
ORD-16029,2025-10-19 07:00:00.000,Bicycle,Clear,1.67,850.0,508.98,402.28,High Bleed (Audit Required),On Time,47.46100879656952,19.04882612561264,47.46530456080613,19.03297062936245
ORD-15366,2026-01-19 15:00:00.000,Bicycle,Clear,2.55,980.0,384.31,402.28,Within Margin,On Time,47.47876585192719,19.04610841427548,47.46957036856519,19.023833497611257
ORD-19317,2025-12-06 22:00:00.000,Bicycle,Clear,5.71,1460.0,255.69,402.28,High Efficiency,On Time,47.46200977639109,19.017271198972093,47.47341002395714,19.0731855451051
ORD-18441,2025-11-07 10:00:00.000,Bicycle,Clear,6.67,1600.0,239.88,402.28,High Efficiency,On Time,47.49804936839685,19.04784273916976,47.45291147271482,19.033880754143144
ORD-15620,2025-10-19 10:00:00.000,Bicycle,Clear,8.2,1830.0,223.17,402.28,High Efficiency,On Time,47.508517427440246,19.04907218405594,47.453131520946734,19.030944285257394
ORD-12615,2025-10-19 10:00:00.000,Bicycle,Clear,2.84,1030.0,362.68,402.28,Within Margin,On Time,47.48349016332367,19.06795095386496,47.50307479736504,19.0695663265341
ORD-14615,2025-11-27 08:00:00.000,Bicycle,Clear,6.62,1590.0,240.18,402.28,High Efficiency,On Time,47.48277859071698,19.021625029689748,47.48860331354306,19.08883920725414
ORD-13802,2026-02-26 04:00:00.000,Bicycle,Clear,4.69,1300.0,277.19,402.28,High Efficiency,On Time,47.4629851121825,19.053647643688038,47.495068342106464,19.06071123531744
ORD-15110,2026-03-25 14:00:00.000,Bicycle,Clear,3.59,1140.0,317.55,402.28,High Efficiency,On Time,47.47419524306356,19.045119479984173,47.46851230194108,19.0808332451584
ORD-17974,2026-01-02 10:00:00.000,Bicycle,Clear,4.67,1300.0,278.37,402.28,High Efficiency,On Time,47.48117653004672,19.06536068120377,47.51304671490805,19.05732856220661
ORD-16705,2026-02-26 01:00:00.000,Bicycle,Clear,5.42,1410.0,260.15,402.28,High Efficiency,On Time,47.50188493597247,19.0546380291034,47.47262750601473,19.089309962655506
ORD-16584,2026-01-30 02:00:00.000,Bicycle,Clear,6.57,1590.0,242.01,402.28,High Efficiency,On Time,47.51308207629498,19.05039315908067,47.47023747283331,19.027831120546807
ORD-10167,2025-11-03 18:00:00.000,Bicycle,Clear,5.62,1800.0,320.28,402.28,High Efficiency,On Time,47.498547357025295,19.05234434580298,47.46087968948245,19.038025235930924
ORD-18861,2026-02-25 21:00:00.000,Bicycle,Clear,4.2,1230.0,292.86,402.28,High Efficiency,On Time,47.487982737986336,19.091448188690755,47.50855033958335,19.06112075006184
ORD-15124,2026-03-15 05:00:00.000,Bicycle,Clear,5.77,1460.0,253.03,402.28,High Efficiency,On Time,47.49670676544316,19.04828644711006,47.468745414324246,19.090385080357724
ORD-18901,2026-03-15 04:00:00.000,Bicycle,Clear,6.3,1540.0,244.44,402.28,High Efficiency,On Time,47.51221687844823,19.055609916189606,47.4710547169502,19.07667800841955
ORD-15578,2026-03-15 00:00:00.000,Bicycle,Clear,4.43,1260.0,284.42,402.28,High Efficiency,On Time,47.46153351651903,19.04576718866867,47.46929309334904,19.08960461175376
ORD-18124,2025-11-21 06:00:00.000,Bicycle,Clear,4.18,1230.0,294.26,402.28,High Efficiency,On Time,47.51334662876892,19.07220940941103,47.48733462269671,19.09090775181233
ORD-17124,2025-12-14 05:00:00.000,Bicycle,Clear,1.26,790.0,626.98,402.28,High Bleed (Audit Required),On Time,47.49355259219273,19.04648879757909,47.493832313927214,19.05933719623605
ORD-16997,2026-03-14 23:00:00.000,Bicycle,Clear,7.35,1700.0,231.29,402.28,High Efficiency,On Time,47.4756441194206,19.09016225403358,47.45879838186858,19.019200490822477
ORD-18264,2026-02-25 20:00:00.000,Bicycle,Clear,4.42,1580.0,357.47,402.28,Within Margin,On Time,47.48738921534382,19.087071112843653,47.4759337223091,19.04517576960813
ORD-17659,2026-01-25 06:00:00.000,Bicycle,Clear,1.65,850.0,515.15,402.28,High Bleed (Audit Required),On Time,47.46648106289592,19.054738916978195,47.46556130228066,19.071610605321865
ORD-13103,2025-12-18 13:00:00.000,Bicycle,Clear,8.59,1890.0,220.02,402.28,High Efficiency,On Time,47.45443733523394,19.044401832257087,47.51320217157191,19.057687738402805
ORD-16917,2026-03-14 20:00:00.000,Bicycle,Clear,1.93,1110.0,575.13,402.28,High Bleed (Audit Required),On Time,47.51009648821592,19.064701939076443,47.496828246083616,19.066609445751048
ORD-19740,2025-10-02 16:00:00.000,Bicycle,Clear,4.55,1280.0,281.32,402.28,High Efficiency,On Time,47.502020464599504,19.04659593536129,47.47254929562276,19.06292881143412
ORD-18747,2025-10-19 19:00:00.000,Bicycle,Clear,2.39,1200.0,502.09,402.28,Within Margin,On Time,47.5036985045322,19.049942699276304,47.50310783800563,19.0743730091776
ORD-16824,2025-11-08 23:00:00.000,Bicycle,Clear,6.68,1600.0,239.52,402.28,High Efficiency,On Time,47.48402689985363,19.08824707507362,47.45779630774587,19.031977545921432
ORD-19377,2025-12-14 02:00:00.000,Bicycle,Clear,0.7,700.0,1000.0,402.28,High Bleed (Audit Required),On Time,47.47395521759817,19.083427079805336,47.46947363497854,19.080805301587183
ORD-18070,2025-12-18 20:00:00.000,Bicycle,Clear,5.57,1790.0,321.36,402.28,High Efficiency,On Time,47.46885023579821,19.02622079741899,47.49466633119225,19.068545994107
ORD-12861,2025-11-21 03:00:00.000,Bicycle,Clear,8.54,1880.0,220.14,402.28,High Efficiency,On Time,47.45363647210807,19.04549267239908,47.510312834620784,19.0700768499334
